Id	Lb	Ub
r_4167	-1000	0
r_4315	0	0
r_1543	0	0
r_1554	0	0
r_0070	0	0
r_1640	0	0
r_1008	0	0
r_4363	0	0
r_4364	0	0
r_4365	0	0
r_4382	0	0
r_4383	0	0
r_4499	0	0
r_4384	0	0
r_4385	0	0
r_4462	0	0
r_4477	0	0
r_4568	0	0
r_4569	0	0
r_2194	0	1000
r_2195	0	1000
r_2196	0	1000
r_2197	0	1000
r_2198	0	1000
r_2199	0	1000
r_2200	0	1000
r_2201	0	1000
r_2202	0	1000
r_2203	0	1000
r_2204	0	1000
r_2205	0	1000
r_2211	0	1000
r_2212	0	1000
r_2214	0	1000
r_2215	0	1000
r_2217	0	1000
r_2218	0	1000
r_2620	0	1000
r_2621	0	1000
r_2622	0	1000
r_2623	0	1000
r_2624	0	1000
r_2625	0	1000
r_2626	0	1000
r_2627	0	1000
r_2628	0	1000
r_2629	0	1000
r_2630	0	1000
r_2631	0	1000
r_2632	0	1000
r_2633	0	1000
r_2634	0	1000
r_2635	0	1000
r_2636	0	1000
r_2637	0	1000
r_2638	0	1000
r_2639	0	1000
r_2640	0	1000
r_2641	0	1000
r_2642	0	1000
r_2643	0	1000
r_2644	0	1000
r_2645	0	1000
r_2646	0	1000
r_2647	0	1000
r_2648	0	1000
r_2649	0	1000
r_2650	0	1000
r_2651	0	1000
r_2652	0	1000
r_2653	0	1000
r_2654	0	1000
r_2655	0	1000
r_2656	0	1000
r_2657	0	1000
r_2658	0	1000
r_2659	0	1000
r_2660	0	1000
r_2661	0	1000
r_2662	0	1000
r_2663	0	1000
r_2664	0	1000
r_2665	0	1000
r_2666	0	1000
r_2667	0	1000
r_2668	0	1000
r_2669	0	1000
r_2670	0	1000
r_2671	0	1000
r_2672	0	1000
r_2673	0	1000
r_2674	0	1000
r_2675	0	1000
r_2676	0	1000
r_2677	0	1000
r_2678	0	1000
r_2679	0	1000
r_2680	0	1000
r_2681	0	1000
r_2682	0	1000
r_2683	0	1000
r_2684	0	1000
r_2685	0	1000
r_2686	0	1000
r_2687	0	1000
r_2688	0	1000
r_2689	0	1000
r_2690	0	1000
r_2691	0	1000
r_2692	0	1000
r_2693	0	1000
r_2694	0	1000
r_2695	0	1000
r_2696	0	1000
r_2697	0	1000
r_2698	0	1000
r_2699	0	1000
r_2700	0	1000
r_2701	0	1000
r_2702	0	1000
r_2703	0	1000
r_2704	0	1000
r_2705	0	1000
r_2706	0	1000
r_2707	0	1000
r_2708	0	1000
r_2709	0	1000
r_2710	0	1000
r_2711	0	1000
r_2712	0	1000
r_2713	0	1000
r_2714	0	1000
r_2715	0	1000
r_2716	0	1000
r_2717	0	1000
r_2718	0	1000
r_2719	0	1000
r_2720	0	1000
r_2721	0	1000
r_2722	0	1000
r_2723	0	1000
r_2724	0	1000
r_2725	0	1000
r_2726	0	1000
r_2727	0	1000
r_2728	0	1000
r_2729	0	1000
r_2730	0	1000
r_2731	0	1000
r_2732	0	1000
r_2733	0	1000
r_2734	0	1000
r_2735	0	1000
r_2736	0	1000
r_2737	0	1000
r_2738	0	1000
r_2739	0	1000
r_2740	0	1000
r_2741	0	1000
r_2742	0	1000
r_2743	0	1000
r_2744	0	1000
r_2745	0	1000
r_2746	0	1000
r_2747	0	1000
r_2748	0	1000
r_2749	0	1000
r_2750	0	1000
r_2751	0	1000
r_2752	0	1000
r_2753	0	1000
r_2754	0	1000
r_2755	0	1000
r_2756	0	1000
r_2757	0	1000
r_2758	0	1000
r_2759	0	1000
r_2760	0	1000
r_2761	0	1000
r_2762	0	1000
r_2763	0	1000
r_2764	0	1000
r_2765	0	1000
r_2766	0	1000
r_2767	0	1000
r_2768	0	1000
r_2769	0	1000
r_2770	0	1000
r_2771	0	1000
r_2772	0	1000
r_2773	0	1000
r_2774	0	1000
r_2775	0	1000
r_2776	0	1000
r_2777	0	1000
r_2778	0	1000
r_2779	0	1000
r_2780	0	1000
r_2781	0	1000
r_2782	0	1000
r_2783	0	1000
r_2784	0	1000
r_2785	0	1000
r_2786	0	1000
r_2787	0	1000
r_2788	0	1000
r_2789	0	1000
r_2790	0	1000
r_2791	0	1000
r_2792	0	1000
r_2793	0	1000
r_2794	0	1000
r_2795	0	1000
r_2796	0	1000
r_2797	0	1000
r_2798	0	1000
r_2799	0	1000
r_2800	0	1000
r_2801	0	1000
r_2802	0	1000
r_2803	0	1000
r_2804	0	1000
r_2805	0	1000
r_2806	0	1000
r_2807	0	1000
r_2808	0	1000
r_2809	0	1000
r_2810	0	1000
r_2811	0	1000
r_2884	0	1000
r_2885	0	1000
r_2886	0	1000
r_2887	0	1000
r_2888	0	1000
r_2889	0	1000
r_2890	0	1000
r_2891	0	1000
r_2892	0	1000
r_2893	0	1000
r_2894	0	1000
r_2895	0	1000
r_2896	0	1000
r_2897	0	1000
r_2898	0	1000
r_2899	0	1000
r_2900	0	1000
r_2901	0	1000
r_2902	0	1000
r_2903	0	1000
r_2904	0	1000
r_2905	0	1000
r_2906	0	1000
r_2907	0	1000
r_2908	0	1000
r_2909	0	1000
r_2910	0	1000
r_2911	0	1000
r_2912	0	1000
r_2913	0	1000
r_2914	0	1000
r_2915	0	1000
r_2916	0	1000
r_2917	0	1000
r_2918	0	1000
r_2919	0	1000
r_2920	0	1000
r_2921	0	1000
r_2922	0	1000
r_2923	0	1000
r_2924	0	1000
r_2925	0	1000
r_2926	0	1000
r_2927	0	1000
r_2928	0	1000
r_2929	0	1000
r_2930	0	1000
r_2931	0	1000
r_2932	0	1000
r_2933	0	1000
r_2934	0	1000
r_2935	0	1000
r_2936	0	1000
r_2937	0	1000
r_2938	0	1000
r_2939	0	1000
r_2940	0	1000
r_2941	0	1000
r_2942	0	1000
r_2943	0	1000
r_2944	0	1000
r_2945	0	1000
r_2946	0	1000
r_2947	0	1000
r_2948	0	1000
r_2949	0	1000
r_2950	0	1000
r_2951	0	1000
r_2952	0	1000
r_2953	0	1000
r_2954	0	1000
r_2955	0	1000
r_2956	0	1000
r_2957	0	1000
r_2958	0	1000
r_2959	0	1000
r_2960	0	1000
r_2961	0	1000
r_2962	0	1000
r_2963	0	1000
r_2964	0	1000
r_2965	0	1000
r_2966	0	1000
r_2967	0	1000
r_2968	0	1000
r_2969	0	1000
r_2970	0	1000
r_2971	0	1000
r_2972	0	1000
r_2973	0	1000
r_2974	0	1000
r_2975	0	1000
r_2976	0	1000
r_2977	0	1000
r_2978	0	1000
r_2979	0	1000
r_2980	0	1000
r_2981	0	1000
r_2982	0	1000
r_2983	0	1000
r_2984	0	1000
r_2985	0	1000
r_2986	0	1000
r_2987	0	1000
r_2988	0	1000
r_2989	0	1000
r_2990	0	1000
r_2991	0	1000
r_2992	0	1000
r_2993	0	1000
r_2994	0	1000
r_2995	0	1000
r_2996	0	1000
r_2997	0	1000
r_2998	0	1000
r_2999	0	1000
r_3000	0	1000
r_3001	0	1000
r_3002	0	1000
r_3003	0	1000
r_3004	0	1000
r_3005	0	1000
r_3006	0	1000
r_3007	0	1000
r_3008	0	1000
r_3009	0	1000
r_3010	0	1000
r_3011	0	1000
r_4161	0	1000
r_4162	0	1000
r_4163	0	1000
r_1148	0	1000
r_1667	0	1000
r_1202	0	1000
r_1208	0	1000
r_1220	0	1000
r_4280	0	1000
r_4281	0	1000
r_4323	0	1000
r_4324	0	1000
r_0302	0	1000
r_0280	0	1000
r_0303	0	1000
r_2305	0	1000
